noree-query3252.smt2, sat, 82, 8, TO, , 6, ,
noree-query9747.smt2, sat, 67, 8, TO, , 6, ,
noree-query3465.smt2, sat, 50, 8, TO, , 6, ,
noree-query6917.smt2, sat, 37, 8, TO, , 6, ,
noree-query4860.smt2, sat, 46, 8, TO, , 6, ,
noree-query3712.smt2, sat, 71, 8, TO, , 6, ,
noree-query9050.smt2, sat, 56, 8, unknown, 3015, 6
noree-query3332.smt2, sat, 42, 8, TO, , 6, ,
noree-query5700.smt2, sat, 246, 13, unknown, 2035, 6
noree-query10684.smt2, sat, 52, 8, unknown, 2070, 6
noree-query8867.smt2, sat, 51, 8, TO, , 6, ,
noree-query3591.smt2, sat, 69, 8, unknown, 4413, 6
noree-query6203.smt2, sat, 45, 8, TO, , 6, ,
noree-query8045.smt2, sat, 46, 8, unknown, 4883, 6
noree-query3516.smt2, sat, 59, 8, TO, , 6, ,
noree-query5281.smt2, sat, 38, 8, TO, , 6, ,
noree-query10584.smt2, sat, 38, 8, unknown, 1883, 6
noree-query4443.smt2, sat, 45, 8, TO, , 6, ,
noree-query5519.smt2, sat, 51, 8, unknown, 3664, 6
noree-query3549.smt2, sat, 57, 8, TO, , 6, ,
noree-query4685.smt2, sat, 39, 8, TO, , 6, ,
noree-query10041.smt2, sat, 151, 9, TO, , 6, ,
noree-query9416.smt2, sat, 47, 8, unknown, 1343, 6
noree-query3444.smt2, sat, 69, 8, unknown, 4979, 6
noree-query5852.smt2, sat, 114, 11, unknown, 4956, 6
noree-query3189.smt2, sat, 40, 8, TO, , 6, ,
noree-query3316.smt2, sat, 42, 7, unknown, 4253, 6
noree-query10629.smt2, sat, 39, 8, unknown, 2018, 6
noree-query6221.smt2, sat, 71, 8, unknown, 4258, 6
noree-query3864.smt2, sat, 51, 7, TO, , 6, ,
noree-query10634.smt2, sat, 39, 8, unknown, 2151, 6
noree-query4858.smt2, sat, 60, 8, TO, , 6, ,
noree-query3336.smt2, sat, 55, 8, unknown, 4543, 6
noree-query3723.smt2, sat, 78, 8, TO, , 6, ,
noree-query5169.smt2, sat, 33, 8, TO, , 6, ,
noree-query10675.smt2, sat, 46, 8, unknown, 1970, 6
noree-query3424.smt2, sat, 53, 8, TO, , 6, ,
noree-query3449.smt2, sat, 39, 8, unknown, 3242, 6
noree-query3450.smt2, sat, 125, 11, TO, , 6, ,
noree-query3231.smt2, sat, 42, 8, TO, , 6, ,
noree-query10608.smt2, sat, 38, 8, unknown, 1688, 6
noree-query5582.smt2, sat, 42, 8, TO, , 6, ,
noree-query10611.smt2, sat, 78, 8, unknown, 1773, 6
noree-query10112.smt2, sat, 200, 9, TO, , 6, ,
noree-query10642.smt2, sat, 46, 8, unknown, 1677, 6
noree-query4673.smt2, sat, 74, 8, unknown, 3750, 6
noree-query3574.smt2, sat, 64, 8, TO, , 6, ,
noree-query6223.smt2, sat, 38, 8, TO, , 6, ,
noree-query7455.smt2, sat, 103, 11, TO, , 6, ,
noree-query3111.smt2, sat, 148, 11, TO, , 6, ,
noree-query10680.smt2, sat, 37, 8, unknown, 1395, 6
noree-query3943.smt2, sat, 62, 8, TO, , 6, ,
noree-query3577.smt2, sat, 64, 8, unknown, 2772, 6
noree-query8468.smt2, sat, 61, 8, TO, , 6, ,
noree-query10650.smt2, sat, 45, 8, TO, , 6, ,
noree-query3323.smt2, sat, 69, 8, TO, , 6, ,
noree-query4255.smt2, sat, 62, 8, TO, , 6, ,
noree-query3309.smt2, sat, 44, 8, unknown, 3967, 6
noree-query10295.smt2, sat, 65, 8, TO, , 6, ,
noree-query3356.smt2, sat, 68, 8, TO, , 6, ,
noree-query5512.smt2, sat, 37, 8, TO, , 6, ,
noree-query3950.smt2, sat, 43, 7, TO, , 6, ,
noree-query5423.smt2, sat, 165, 11, TO, , 6, ,
noree-query5315.smt2, sat, 58, 8, TO, , 6, ,
noree-query3494.smt2, sat, 73, 8, TO, , 6, ,
noree-query5100.smt2, sat, 42, 8, TO, , 6, ,
noree-query3423.smt2, sat, 73, 8, unknown, 2688, 6
noree-query10657.smt2, sat, 41, 8, unknown, 1659, 6
noree-query6796.smt2, sat, 48, 8, TO, , 6, ,
noree-query9276.smt2, sat, 74, 8, unknown, 2664, 6
noree-query8917.smt2, sat, 40, 7, TO, , 6, ,
noree-query6842.smt2, sat, 61, 8, TO, , 6, ,
noree-query10682.smt2, sat, 59, 8, TO, , 6, ,
noree-query8654.smt2, sat, 52, 8, unknown, 4485, 6
noree-query3221.smt2, sat, 37, 8, TO, , 6, ,
noree-query8962.smt2, sat, 58, 8, unknown, 3544, 6
noree-query5196.smt2, sat, 49, 8, TO, , 6, ,
noree-query3767.smt2, sat, 63, 8, unknown, 4938, 6
noree-query3487.smt2, sat, 67, 8, TO, , 6, ,
noree-query10681.smt2, sat, 66, 8, TO, , 6, ,
noree-query5197.smt2, sat, 53, 8, TO, , 6, ,
noree-query10669.smt2, sat, 42, 8, unknown, 1541, 6
noree-query10663.smt2, sat, 41, 8, unknown, 2168, 6
noree-query3214.smt2, sat, 41, 8, unknown, 4122, 6
noree-query7904.smt2, sat, 61, 8, TO, , 6, ,
noree-query4914.smt2, sat, 51, 8, TO, , 6, ,
noree-query5108.smt2, sat, 57, 8, unknown, 3039, 6
noree-query9155.smt2, sat, 119, 11, TO, , 6, ,
noree-query4871.smt2, sat, 41, 8, unknown, 1157, 6
